Change component parameters: Designator = "J3" ("J3"); Footprint = "DSUB1.385-2H15"; UniqueID = "\UXLHKYAI" ("\UXLHKYAI")
Change component parameters (AddParameter): Name = "DatasheetDocument"; Value = "1-Sep-99"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Receptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDocument"; Value = "O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "788757"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Positions"; Value = "15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "15-Jun-2001"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "Connector"; VariantName = "[No Variations]"
